t=2026-06-06T15:29:11+0530 lvl=info msg="no configuration paths supplied"
t=2026-06-06T15:29:11+0530 lvl=info msg="using configuration at default config path" path=C:\\Users\\ayush\\AppData\\Local\\ngrok\\ngrok.yml
t=2026-06-06T15:29:11+0530 lvl=info msg="open config file" path=C:\\Users\\ayush\\AppData\\Local\\ngrok\\ngrok.yml err=nil
t=2026-06-06T15:29:11+0530 lvl=info msg="FIPS 140 mode" enabled=false
t=2026-06-06T15:29:12+0530 lvl=info msg="starting web service" obj=web addr=127.0.0.1:4040 allow_hosts=[]
t=2026-06-06T15:29:12+0530 lvl=info msg="client session established" obj=tunnels.session
t=2026-06-06T15:29:12+0530 lvl=info msg="tunnel session started" obj=tunnels.session
t=2026-06-06T15:29:12+0530 lvl=info msg="started tunnel" obj=tunnels name=command_line addr=http://localhost:5000 url=https://diligence-driving-washout.ngrok-free.dev
t=2026-06-06T15:29:13+0530 lvl=info msg="update available" obj=updater
t=2026-06-06T15:29:30+0530 lvl=info msg="join connections" obj=join id=9b133947fd49 l=127.0.0.1:5000 r=122.161.50.164:21782
t=2026-06-06T15:29:31+0530 lvl=info msg="join connections" obj=join id=8e5f6ca9bfa5 l=127.0.0.1:5000 r=122.161.50.164:21782
t=2026-06-06T15:29:32+0530 lvl=info msg="join connections" obj=join id=30d21b485f4e l=127.0.0.1:5000 r=122.161.50.164:21782
t=2026-06-06T15:29:32+0530 lvl=info msg="join connections" obj=join id=bfbf1cbfb50a l=127.0.0.1:5000 r=122.161.50.164:21782
t=2026-06-06T15:29:37+0530 lvl=info msg="join connections" obj=join id=16c78a85ae8f l=127.0.0.1:5000 r=122.161.50.164:21782
t=2026-06-06T15:30:00+0530 lvl=info msg="join connections" obj=join id=47029f07aa54 l=127.0.0.1:5000 r=122.161.50.164:21782
t=2026-06-06T15:30:06+0530 lvl=info msg="join connections" obj=join id=87848afa7512 l=127.0.0.1:5000 r=122.161.50.164:21782
t=2026-06-06T15:32:50+0530 lvl=info msg="join connections" obj=join id=ccc7a0f36632 l=127.0.0.1:5000 r=122.161.50.164:21782
t=2026-06-06T15:32:51+0530 lvl=info msg="join connections" obj=join id=30c58c999225 l=127.0.0.1:5000 r=122.161.50.164:21782
t=2026-06-06T15:32:52+0530 lvl=info msg="join connections" obj=join id=ec177acd275b l=127.0.0.1:5000 r=122.161.50.164:21782
t=2026-06-06T15:33:09+0530 lvl=info msg="join connections" obj=join id=eac358a01507 l=127.0.0.1:5000 r=122.161.50.164:21782
t=2026-06-06T15:33:09+0530 lvl=info msg="join connections" obj=join id=bc3a2b4a9bf3 l=127.0.0.1:5000 r=122.161.50.164:21782
t=2026-06-06T15:33:21+0530 lvl=info msg="join connections" obj=join id=1cce5a40a830 l=127.0.0.1:5000 r=122.161.50.164:21782
t=2026-06-06T15:33:21+0530 lvl=info msg="join connections" obj=join id=5a1c436cd63b l=127.0.0.1:5000 r=122.161.50.164:21782
t=2026-06-06T15:33:24+0530 lvl=info msg="join connections" obj=join id=aecbc7004c29 l=127.0.0.1:5000 r=122.161.50.164:21782
t=2026-06-06T15:33:24+0530 lvl=info msg="join connections" obj=join id=e1bff429e712 l=127.0.0.1:5000 r=122.161.50.164:21782
t=2026-06-06T15:33:38+0530 lvl=info msg="join connections" obj=join id=2c642edbb49e l=127.0.0.1:5000 r=122.161.50.164:21782
t=2026-06-06T15:33:38+0530 lvl=info msg="join connections" obj=join id=59c2a852d1f8 l=127.0.0.1:5000 r=122.161.50.164:21782
t=2026-06-06T15:33:42+0530 lvl=info msg="join connections" obj=join id=bec996653f8b l=127.0.0.1:5000 r=122.161.50.164:21782
t=2026-06-06T15:33:42+0530 lvl=info msg="join connections" obj=join id=e676e9daf9de l=127.0.0.1:5000 r=122.161.50.164:21782
t=2026-06-06T15:34:02+0530 lvl=info msg="join connections" obj=join id=a3d1952effee l=127.0.0.1:5000 r=122.161.50.164:21782
t=2026-06-06T15:34:22+0530 lvl=info msg="join connections" obj=join id=18b5675c58f5 l=127.0.0.1:5000 r=122.161.50.164:21782
t=2026-06-06T15:34:37+0530 lvl=info msg="join connections" obj=join id=e18db13667c5 l=127.0.0.1:5000 r=122.161.50.164:21782
t=2026-06-06T15:34:37+0530 lvl=info msg="join connections" obj=join id=dd694430f24d l=127.0.0.1:5000 r=122.161.50.164:21782
t=2026-06-06T15:34:58+0530 lvl=info msg="join connections" obj=join id=79c8850485eb l=127.0.0.1:5000 r=122.161.50.164:21782
t=2026-06-06T15:36:30+0530 lvl=info msg="join connections" obj=join id=0116b777a030 l=127.0.0.1:5000 r=122.161.50.164:21782
t=2026-06-06T15:36:33+0530 lvl=info msg="join connections" obj=join id=315ef7c0e6c0 l=127.0.0.1:5000 r=122.161.50.164:21782
t=2026-06-06T15:36:40+0530 lvl=info msg="join connections" obj=join id=339ab7f9f988 l=127.0.0.1:5000 r=122.161.50.164:21782
t=2026-06-06T15:38:18+0530 lvl=info msg="join connections" obj=join id=3298abf6e2e8 l=127.0.0.1:5000 r=122.161.50.164:21782
t=2026-06-06T15:38:18+0530 lvl=info msg="join connections" obj=join id=809f06d85691 l=127.0.0.1:5000 r=122.161.50.164:21782
t=2026-06-06T15:38:20+0530 lvl=info msg="join connections" obj=join id=5145c7484a88 l=127.0.0.1:5000 r=122.161.50.164:21782
t=2026-06-06T15:38:20+0530 lvl=info msg="join connections" obj=join id=6e12d5b33fad l=127.0.0.1:5000 r=122.161.50.164:21782
t=2026-06-06T15:38:38+0530 lvl=info msg="join connections" obj=join id=2696280a2ce2 l=127.0.0.1:5000 r=122.161.50.164:21782
t=2026-06-06T15:38:45+0530 lvl=info msg="join connections" obj=join id=d41162007fcb l=127.0.0.1:5000 r=122.161.50.164:21782
t=2026-06-06T15:39:13+0530 lvl=info msg="join connections" obj=join id=a583d32682da l=127.0.0.1:5000 r=122.161.50.164:21782
t=2026-06-06T15:39:25+0530 lvl=info msg="join connections" obj=join id=2e31c5e220a0 l=127.0.0.1:5000 r=122.161.50.164:21782
t=2026-06-06T15:39:28+0530 lvl=info msg="join connections" obj=join id=be1e0b206026 l=127.0.0.1:5000 r=122.161.50.164:21782
t=2026-06-06T15:45:49+0530 lvl=info msg="join connections" obj=join id=052efa99b627 l=127.0.0.1:5000 r=122.161.50.164:21782
t=2026-06-06T15:45:50+0530 lvl=info msg="join connections" obj=join id=754089ea3720 l=127.0.0.1:5000 r=122.161.50.164:21782
t=2026-06-06T15:45:54+0530 lvl=info msg="join connections" obj=join id=e96e9cc694a2 l=127.0.0.1:5000 r=122.161.50.164:21782
t=2026-06-06T15:45:56+0530 lvl=info msg="join connections" obj=join id=c381dd31c8ef l=127.0.0.1:5000 r=122.161.50.164:21782
t=2026-06-06T15:46:07+0530 lvl=info msg="join connections" obj=join id=4d41ef3dcd32 l=127.0.0.1:5000 r=122.161.50.164:21782
t=2026-06-06T15:46:07+0530 lvl=info msg="join connections" obj=join id=b98859fc4406 l=127.0.0.1:5000 r=122.161.50.164:21782
t=2026-06-06T15:46:08+0530 lvl=info msg="join connections" obj=join id=b3b785429b46 l=127.0.0.1:5000 r=122.161.50.164:21782
t=2026-06-06T15:46:08+0530 lvl=info msg="join connections" obj=join id=b9ba2c404fa6 l=127.0.0.1:5000 r=122.161.50.164:21782
t=2026-06-06T15:46:10+0530 lvl=info msg="join connections" obj=join id=7f6043f19588 l=127.0.0.1:5000 r=122.161.50.164:21782
t=2026-06-06T15:46:20+0530 lvl=info msg="join connections" obj=join id=43f15f6e951b l=127.0.0.1:5000 r=122.161.50.164:21782
t=2026-06-06T15:47:08+0530 lvl=info msg="join connections" obj=join id=b9946057bd3b l=127.0.0.1:5000 r=122.161.50.164:21782
t=2026-06-06T15:47:16+0530 lvl=info msg="join connections" obj=join id=bfa881421447 l=127.0.0.1:5000 r=122.161.50.164:21782
t=2026-06-06T15:47:16+0530 lvl=info msg="join connections" obj=join id=511e8ecbfc94 l=127.0.0.1:5000 r=122.161.50.164:21782
t=2026-06-06T15:47:21+0530 lvl=info msg="join connections" obj=join id=635797065462 l=127.0.0.1:5000 r=122.161.50.164:21782
t=2026-06-06T15:47:21+0530 lvl=info msg="join connections" obj=join id=3128a90a81ff l=127.0.0.1:5000 r=122.161.50.164:21782
t=2026-06-06T15:47:30+0530 lvl=info msg="join connections" obj=join id=7d270d5c7496 l=127.0.0.1:5000 r=122.161.50.164:21782
t=2026-06-06T15:47:30+0530 lvl=info msg="join connections" obj=join id=59f9f66c8150 l=127.0.0.1:5000 r=122.161.50.164:21782
t=2026-06-06T15:47:32+0530 lvl=info msg="join connections" obj=join id=e960e85587e1 l=127.0.0.1:5000 r=122.161.50.164:21782
t=2026-06-06T15:47:32+0530 lvl=info msg="join connections" obj=join id=6d9f6a699c36 l=127.0.0.1:5000 r=122.161.50.164:21782
t=2026-06-06T15:47:41+0530 lvl=info msg="join connections" obj=join id=44fdb00ee1b5 l=127.0.0.1:5000 r=122.161.50.164:21782
t=2026-06-06T15:47:41+0530 lvl=info msg="join connections" obj=join id=db4889f4f88d l=127.0.0.1:5000 r=122.161.50.164:21782
t=2026-06-06T15:52:50+0530 lvl=info msg="join connections" obj=join id=d6a09e9a62eb l=127.0.0.1:5000 r=122.161.50.164:21782
t=2026-06-06T15:52:50+0530 lvl=info msg="join connections" obj=join id=80b80435990e l=127.0.0.1:5000 r=122.161.50.164:21782
t=2026-06-06T15:52:50+0530 lvl=info msg="join connections" obj=join id=4d9dc3501973 l=127.0.0.1:5000 r=122.161.50.164:21782
t=2026-06-06T15:52:54+0530 lvl=info msg="join connections" obj=join id=ec62d124a625 l=127.0.0.1:5000 r=122.161.50.164:21782
t=2026-06-06T15:52:54+0530 lvl=info msg="join connections" obj=join id=4e80f8f425cd l=127.0.0.1:5000 r=122.161.50.164:21782
t=2026-06-06T15:52:54+0530 lvl=info msg="join connections" obj=join id=fff2e6808433 l=127.0.0.1:5000 r=122.161.50.164:21782
t=2026-06-06T15:52:54+0530 lvl=info msg="join connections" obj=join id=991d25be5568 l=127.0.0.1:5000 r=122.161.50.164:21782
t=2026-06-06T15:52:57+0530 lvl=info msg="join connections" obj=join id=9cc40eecefb1 l=127.0.0.1:5000 r=122.161.50.164:21782
t=2026-06-06T15:58:40+0530 lvl=info msg="join connections" obj=join id=dd3a84fd4a48 l=127.0.0.1:5000 r=122.161.50.164:23015
t=2026-06-06T15:58:40+0530 lvl=info msg="join connections" obj=join id=e928b631e99e l=127.0.0.1:5000 r=122.161.50.164:23015
